"ISIN","DocumentType","EffectiveDate","DownloadDate","DownloadUrl","FilePath","MD5Hash","FileSize"
"DE000A3D7559","Verkaufsprospekt","01.04.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_1_Bona_Futura_01_04_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A3D7559\VKP_1_Bona_Futura_01_04_2024.pdf","5bcaca45541a0c28fcedb82e7ca7ea19","1052747"
"DE000A1H44G8","Verkaufsprospekt","15.11.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_3ik_Strategiefonds_I_15_11_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A1H44G8\VKP_3ik_Strategiefonds_I_15_11_2023.pdf","1f5fa7ca2ea9c4d2907136048995f9ba","1209238"
"DE000A1H44G8","Jahresbericht","31.08.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_606_3ik-Strategiefonds_I_Bericht_2023-08-31_Layout_PDF.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A1H44G8\JB_606_3ik-Strategiefonds_I_Bericht_2023-08-31_Layout_PDF.pdf","4e8f882c98d0811bbf10a1129d153025","1480693"
"DE000A1H44G8","Halbjahresbericht","29.02.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_6066_3ik_Strategiefonds_I_Bericht.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A1H44G8\HJB_6066_3ik_Strategiefonds_I_Bericht.pdf","dc25b1bcbd3969ac230b85ae1cff3b9a","730378"
"DE000A1H44L8","Verkaufsprospekt","15.11.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_3ik_Strategiefonds_III_15_11_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A1H44L8\VKP_3ik_Strategiefonds_III_15_11_2023.pdf","d4621036808a53992781103075fb4426","1240462"
"DE000A1H44L8","Jahresbericht","31.08.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_6068_3ik-Strategiefonds_III_Bericht_2023-08-31_Layout_PDF.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A1H44L8\JB_6068_3ik-Strategiefonds_III_Bericht_2023-08-31_Layout_PDF.pdf","900b8adb7b1d4ae85ec122df24792b4b","1316844"
"DE000A1H44L8","Halbjahresbericht","29.02.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_6068_3ik_Strategiefonds_III_Bericht.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A1H44L8\HJB_6068_3ik_Strategiefonds_III_Bericht.pdf","ea7d4da79e3ef2b1448f9ddadffed5a6","618818"
"DE000A3DV7B5","Verkaufsprospekt","19.02.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_AuM_Experts_Momentum_World_19_02_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A3DV7B5\VKP_AuM_Experts_Momentum_World_19_02_2024.pdf","c74ec09f6223dc8eec099d822fb6ada8","1062542"
"DE000A3DV7B5","Jahresbericht","31.03.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/Jahresbericht_1983_AM_Experts_Momentum_World_Bericht_2023-03-31_Layout_PDF_5.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A3DV7B5\Jahresbericht_1983_AM_Experts_Momentum_World_Bericht_2023-03-31_Layout_PDF_5.pdf","ddf6083b6368897bf56e702572bc8e8b","1142653"
"DE000A3DV7B5","Halbjahresbericht","30.09.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_1983_AM_Experts_Momentum_World_Bericht_2023-09-30_Layout_PDF.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A3DV7B5\HJB_1983_AM_Experts_Momentum_World_Bericht_2023-09-30_Layout_PDF.pdf","03ed5ee343303c7431941c12fed69025","898747"
"DE000A14UW02","Verkaufsprospekt","01.01.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_A_IX_Faktor_Fonds_01_01_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A14UW02\VKP_A_IX_Faktor_Fonds_01_01_2023.pdf","af814d3915c1a1fb53c5a195cbfefbf7","1157476"
"DE000A14UW02","Jahresbericht","31.12.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/6174_JB_AIX_Faktor_Fonds_Bericht_2023-12-31.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A14UW02\6174_JB_AIX_Faktor_Fonds_Bericht_2023-12-31.pdf","774a315025d9a0703697854ef14f42fe","1240090"
"DE000A14UW02","Halbjahresbericht","30.06.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_6174_A_IX_Faktor_Fonds_Bericht_2023-06-30_Layout_PDF.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A14UW02\HJB_6174_A_IX_Faktor_Fonds_Bericht_2023-06-30_Layout_PDF.pdf","9cc5e3711acb7702e577f477a4f148f2","538640"
"DE000A2QJLD2","Verkaufsprospekt","01.04.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_Aaapollo_11_Global_01_04_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2QJLD2\VKP_Aaapollo_11_Global_01_04_2024.pdf","a10039e8178afe1606881853195673f5","1214123"
"DE000A2QJLD2","Jahresbericht","31.08.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_1916_Aaapollo_11_Global_Bericht_2023-08-31_Layout_PDF.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2QJLD2\JB_1916_Aaapollo_11_Global_Bericht_2023-08-31_Layout_PDF.pdf","d961af57d66818a9581f01380dd398b0","1068314"
"DE000A2QJLD2","Halbjahresbericht","29.02.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_1916_Aaapollo_11_Global_Bericht.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2QJLD2\HJB_1916_Aaapollo_11_Global_Bericht.pdf","9752001f0ac211df618c1b34eaf2f5ff","577417"
"DE000A2QJLE0","Verkaufsprospekt","01.04.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_Aaapollo_11_Global_01_04_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2QJLD2\VKP_Aaapollo_11_Global_01_04_2024.pdf","a10039e8178afe1606881853195673f5","1214123"
"DE000A2QJLE0","Jahresbericht","31.08.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_1916_Aaapollo_11_Global_Bericht_2023-08-31_Layout_PDF.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2QJLD2\JB_1916_Aaapollo_11_Global_Bericht_2023-08-31_Layout_PDF.pdf","d961af57d66818a9581f01380dd398b0","1068314"
